Trade,Name,Phone,City,Reviews,Profile_URL,Source
Handyman,Done Rite Services,Not visible,Seattle,344,https://www.thumbtack.com/wa/seattle/handyman/done-rite-services/service/447024059219181575,Thumbtack
Handyman,Mike's Handyman Services,Not visible,Seattle,2,https://www.thumbtack.com/wa/seattle/interior-painting/mikes-handyman-services/service/480063887920168967,Thumbtack
House Painter,All Covered Painting,Not visible,Seattle,90,https://www.thumbtack.com/wa/seattle/interior-painting/all-covered-painting/service/547668868693196804,Thumbtack
Roofer,King Quality Roofing,Not visible,Seattle,161,https://www.thumbtack.com/wa/seattle/roofing/king-quality-roofing/service/526251807000502279,Thumbtack
Pressure Washing,#1 Pro Power Washing,Not visible,Seattle,10,https://www.thumbtack.com/wa/seattle/pressure-washing/1-pro-power-washing/service/462481281372364805,Thumbtack
Landscaper,Carlos Landscaping,Not visible,Gig Harbor,143,https://www.thumbtack.com/wa/gig-harbor/landscaping/carlos-landscaping/service/261803141839111222,Thumbtack
Concrete,J.H. Concrete LLC,Not visible,Seattle,8,https://www.thumbtack.com/wa/seattle/concrete-contractors/jh-concrete-llc/service/358838098604441617,Thumbtack
Concrete,Melbigaldana Concrete Solutions LLC,Not visible,Seattle,16,https://www.thumbtack.com/wa/seattle/concrete-contractors/melbigaldana-concrete-solutions-llc/service/421979611343888395,Thumbtack
Plumber,Goldstar Plumbing,Not visible,Kirkland,23,https://www.thumbtack.com/wa/kirkland/affordable-plumbing-services/goldstar-plumbing/service/420487310838267925,Thumbtack
Electrician,Empower Electric LLC,Not visible,Seattle,1,https://www.thumbtack.com/wa/seattle/electrical-repairs/empower-electric-llc/service/490553850533625865,Thumbtack
House Painter,Fernandez Pro,Not visible,Seattle,6,https://www.thumbtack.com/wa/seattle/interior-painting/fernandez-pro/service/487214786121859092,Thumbtack
Landscaper,Trust Landscaping LLC,Not visible,Seattle,28,https://www.thumbtack.com/wa/seattle/lawn-care/trust-landscaping-llc/service/549353607922270219,Thumbtack
Landscaper,Dreamscape Landscaping & Property Maintenance,Not visible,Seattle,35,https://www.thumbtack.com/wa/seattle/lawn-care/dreamscape-landscaping-property-maintenance/service/497831724920856581,Thumbtack
Pressure Washing,Make it Happen Exterior Home Maintenance,Not visible,Seattle,34,https://www.thumbtack.com/wa/seattle/pressure-washing/make-it-happen-exterior-home-maintenance/service/525360714300407813,Thumbtack
Pressure Washing,3 Guys On A Roof,Not visible,Seattle,10,https://www.thumbtack.com/wa/seattle/roof-cleaning/3-guys-on-roof/service/387186457428606979,Thumbtack
House Painter,Afer Painting Inc,Not visible,Seattle,43,https://www.thumbtack.com/wa/seattle/interior-painting/afer-painting-inc/service/321940882862129278,Thumbtack
Electrician,PNW Electrical Services,Not visible,Seattle,2,https://www.thumbtack.com/wa/seattle/electrical-repairs/pnw-electrical-services/service/496099941984534534,Thumbtack
Carpenter,The Final Touch Home&Office Improvement LLC,Not visible,Seattle,10,https://www.thumbtack.com/wa/seattle/framing-contractors/final-touch-homeoffice-improvement-llc/service/493859383295877135,Thumbtack
Concrete,Nomadic Construction LLC,Not visible,Seattle,25,https://www.thumbtack.com/wa/seattle/concrete-removal/nomadic-construction-llc/service/449079645654097931,Thumbtack
Roofer,Golden Hammer Construction LLC,Not visible,Seattle,6,https://www.thumbtack.com/wa/seattle/roofing/golden-hammer-construction-llc/service/527393919834161152,Thumbtack
Roofer,Grand Roofing & Construction LLC,Not visible,Seattle,37,https://www.thumbtack.com/wa/seattle/roof-cleaning/grand-roofing-construction-llc/service/461816675821314055,Thumbtack
